year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1947,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,Country,21,20,150266,48,0.371,0.834,-11.99,0.0358,0.275
1949,Foggy Mountain Breakdown,Flatt & Scruggs,Country,55,12,140413,48,0.479,0.407,-14.781,0.0329,0.352
1950,I Want To Be Loved,Dinah Washington,Blues,76,4,175440,10,0.266,0.428,-8.426,0.0331,0.294
1955,Folsom Prison Blues,Johnny Cash,Country,32,12,162653,68,0.524,0.621,-15.269,0.0803,0.893
1955,My Dearest Darling,Etta James,R&B,34,13,180666,47,0.345,0.554,-7.87,0.027,0.348
1956,I Don't Know,Ruth Brown,R&B,64,6,173733,46,0.296,0.727,-7.851,0.0381,0.0815
1956,Bama Lama Bama Loo,Little Richard,R&B,82,4,133013,21,0.851,0.493,-6.145,0.0596,0.327
1956,I Waited Too Long,LaVern Baker,R&B,33,11,152653,10,0.325,0.415,-9.618,0.0426,0.299
1957,Little Bitty Pretty One,Frankie Lymon,R&B,58,4,161160,30,0.637,0.516,-10.662,0.0776,0.2
1957,Am I Losing You,Jim Reeves,Country,31,11,139733,40,0.121,0.528,-21.213,0.0345,0.125
1958,Summertime Blues,Eddie Cochran,Pop,8,16,181000,67,0.411,0.552,-7.946,0.0434,0.248
1958,Lonesome Town,Ricky Nelson,Pop,7,18,134000,60,0.193,0.404,-12.501,0.0305,0.103
1958,Tom Dooley,The Kingston Trio,World,1,21,183973,41,0.144,0.649,-13.986,0.0418,0.105
1958,Lonely Teardrops,Jackie Wilson,R&B,7,21,166213,47,0.478,0.524,-8.894,0.118,0.74
1958,Johnny B. Goode,Chuck Berry,R&B,80,1,161560,77,0.803,0.534,-9.129,0.0743,0.307
1958,Donna,Ritchie Valens,Pop,2,23,150000,60,0.225,0.472,-12.581,0.0263,0.111
1958,Splish Splash,Bobby Darin,Pop,3,8,131000,57,0.943,0.645,-1.526,0.0393,0.37
1958,City Lights,Ray Price,Country,71,3,179600,27,0.495,0.326,-10.839,0.0386,0.241
1958,Little Star,The Elegants,Pop,1,17,100000,73,0.0248,0.443,-25.351,0.0622,0.12
1958,Whole Lotta Loving,Fats Domino,R&B,6,15,100480,34,0.814,0.648,-8.044,0.0384,0.241
1958,Give Myself A Party,Don Gibson,Country,46,10,149800,18,0.317,0.707,-15.33,0.0345,0.213
1958,La Bamba,Ritchie Valens,Pop,22,15,126000,67,0.809,0.516,-6.419,0.0545,0.303
1958,Blue Boy,Jim Reeves,Country,45,6,130533,24,0.368,0.518,-13.846,0.0283,0.156
1958,Problems,The Everly Brothers,Pop,2,15,80000,62,0.746,0.587,-5.435,0.0388,0.144
1958,The Very Thought Of You,Little Willie John,R&B,61,6,139693,5,0.424,0.35,-11.472,0.0319,0.154
1958,Smoke Gets In Your Eyes,The Platters,R&B,1,19,157760,46,0.247,0.334,-11.02,0.0299,0.545
1958,What Am I Living For,Chuck Willis,R&B,25,7,146800,25,0.391,0.667,-8.712,0.0258,0.0809
1958,Harbor Lights,The Platters,R&B,8,16,194866,44,0.29,0.26,-13.38,0.0293,0.153
1958,It's Only Make Believe,Conway Twitty,Country,1,21,132026,55,0.466,0.461,-9.627,0.0598,0.135
1958,Fever,Peggy Lee,Pop,8,12,172000,73,0.713,0.6,-5.079,0.0592,0.142
1958,Leave My Kitten Alone,Little Willie John,R&B,60,15,153739,17,0.637,0.503,-9.673,0.0333,0.304
1958,Yakety Yak,The Coasters,Pop,7,7,116000,54,0.834,0.641,-7.831,0.242,0.131
1958,Sleep,Little Willie John,R&B,13,16,175053,9,0.522,0.369,-12.733,0.0342,0.134
1959,September In The Rain,Dinah Washington,Jazz,23,11,129333,55,0.213,0.401,-13.124,0.0545,0.0596
1959,Pink Shoe Laces,Dodie Stevens,Pop,3,19,159000,36,0.925,0.644,-4.926,0.27,0.38
1959,Enchanted,The Platters,R&B,12,15,172293,34,0.225,0.348,-13.889,0.0349,0.209
1959,Lovers Never Say Goodbye,The Flamingos,R&B,52,10,173441,28,0.393,0.444,-9.805,0.0307,0.0927
1959,Since I Don't Have You,The Skyliners,Pop,12,19,158000,52,0.602,0.265,-4.231,0.0319,0.299
1959,Big Iron,Marty Robbins,Country,26,10,235733,69,0.474,0.726,-7.834,0.0491,0.258
1959,El Paso,Marty Robbins,Country,1,22,259306,63,0.452,0.654,-9.709,0.03,0.16
1959,There Goes My Baby,The Drifters,R&B,2,19,129613,44,0.564,0.241,-6.544,0.0347,0.704
1959,Poison Ivy,The Coasters,Pop,7,16,187000,54,0.789,0.754,-6.256,0.204,0.102
1959,The Battle Of New Orleans,Johnny Horton,Country,1,21,151506,52,0.743,0.704,-12.069,0.129,0.205
1959,Unforgettable,Dinah Washington,Jazz,17,13,165800,29,0.191,0.324,-14.919,0.0308,0.236
1959,I Want To Walk You Home,Fats Domino,R&B,8,13,140533,36,0.329,0.792,-14.964,0.0481,0.126
1959,Sea Cruise,Frankie Ford,Pop,14,17,167000,36,0.738,0.49,-10.976,0.0465,0.372
1959,Dream Lover,Bobby Darin,Pop,2,17,151000,60,0.608,0.526,-6.855,0.0468,0.438
1959,Say Man,Bo Diddley,R&B,20,12,190413,20,0.577,0.76,-14.973,0.198,0.0522
1959,Charlie Brown,The Coasters,Pop,2,15,285000,72,0.74,0.43,-7.072,0.0375,0.33
1959,The Hanging Tree,Marty Robbins,Country,38,13,170400,44,0.425,0.625,-11.805,0.0424,0.346
1959,Johnny Reb,Johnny Horton,Country,54,8,139840,37,0.425,0.833,-13.332,0.0434,0.17
1959,Dedicated To The One I Love,The Shirelles,R&B,3,20,124186,46,0.191,0.462,-11.901,0.0339,0.164
1959,This Little Girl's Gone Rockin',Ruth Brown,R&B,24,10,108293,0,0.747,0.655,-6.932,0.0879,0.101
1959,White Lightning,George Jones,Country,73,5,165453,50,0.8,0.583,-9.689,0.0909,0.122
1959,Take Five,The Dave Brubeck Quartet,Jazz,25,12,324133,68,0.26,0.454,-13.193,0.0401,0.0675
1959,Running Bear,Sonny James,Country,94,2,165893,41,0.688,0.61,-9.308,0.0357,0.164
1959,Baby What You Want Me To Do,Jimmy Reed,Blues,37,14,144426,42,0.302,0.582,-11.624,0.0353,0.0931
1959,To Be Loved,Jackie Wilson,R&B,86,1,154173,46,0.436,0.242,-7.528,0.0367,0.324
1959,Little Queenie,Chuck Berry,R&B,80,4,163800,40,0.764,0.673,-10.392,0.087,0.238
1960,Pretty Blue Eyes,Steve Lawrence,Pop,9,18,114000,40,0.507,0.477,-11.802,0.0328,0.36
1960,Greenfields,The Brothers Four,Pop,2,20,182000,40,0.125,0.466,-20.428,0.0372,0.121
1960,Footsteps,Steve Lawrence,Pop,7,13,306000,60,0.374,0.679,-10.565,0.0482,0.0541
1960,Young Emotions,Ricky Nelson,Pop,12,13,169000,43,0.578,0.487,-6.719,0.107,0.161
1960,Georgia On My Mind,Ray Charles,Pop,1,13,219000,56,0.323,0.19,-12.405,0.0303,0.176
1960,North To Alaska,Johnny Horton,Country,4,23,169560,49,0.371,0.647,-14.437,0.0389,0.345
